consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,consent_loop.ran,CONS,MTURK_ID,session,date,expName,psychopyVersion,OS,frameRate,instructions_resp_1.keys,instructions_resp_1.rt,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,INS,key_resp_instructions_2.keys,key_resp_instructions_2.rt,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,key_resp_diff.keys,key_resp_diff.rt,Strategy_resp,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Category,Type,LET,word11,word12,word13,word14,word15,word16,word17,word18,rt_11,rt_12,rt_13,rt_14,rt_15,rt_16,rt_17,rt_18,word19,word20,rt_19,rt_20,word21,word22,word23,word24,word25,word26,rt_21,rt_22,rt_23,rt_24,rt_25,rt_26
0,0,0,0,1,Consent1.png,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Consent2.png,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,space,1.264,0,0,0,0,1,Instructions1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,space,11.599,0,1,1,1,1,Instructions2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,space,7.864,0,2,2,2,1,Instructions3.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,space,23.076,0,3,3,3,1,Instructions4.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,space,15.424,0,4,4,4,1,Instructions5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,3,6.119,car,ladder,hose,truck,tires,bike,workbench,tools,tarp,motorcycle,86,82,79,70,62,53,43,20,10,3,6,3.605,I tried to think of all the things that people might store in their garage. ,j,2.794,0,0,0,0,1,Things in a garage,Spatial,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,cat,dog,bunny,panda,giraffe,elephant,monkey,bear,cougar,lion,88,87,85,83,80,78,75,65,62,60,1,1.676,"I thought of animals in the zoo, and around our city.",j,1.532,0,1,1,6,1,Animals,Semantic,j,squirrel,wolf,bobcat,gorilla,donkey,horse,sheep,goat,49,42,37,20,17,14,12,11,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,knive,forks,spoons,spatula,fridge,oven,stove,microwave,sink,dishwasher,86,84,82,76,75,73,72,70,67,61,1,3.076,I thought of things in my kitchen.,j,0.914,0,2,2,2,1,Things in a kitchen,Spatial,j,cupboards,dishes,cups,glasses,food,plates,mugs,pantry,57,53,48,46,41,34,30,18,pots,pans,7,7,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,sun,sacred,sorry,sand,storm,sight,sigh,stand,standard,stage,86,81,79,78,76,74,71,68,65,64,1,1.026,I typed whatever came to mind.,p,0.917,0,3,3,5,1,Words that start with S,Phonemic,p,sock,star,stupid,stomach,starch,sticky,stone,sully,61,59,56,52,49,47,43,40,stork,sauce,36,31,stage,stock,sing,soup,sorry,some,25,18,14,12,4,1
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,bed,closet,dressers,clothes,bedstand,lamp,mattress,pyjamas,storage,jewelry,87,85,83,82,77,76,65,61,52,47,1,2.12,I thought of things in my bedroom.,p,0.746,0,4,4,1,1,Things in a bedroom,Spatial,p,shoes,bedsheets,pillows,blankets,lights,shelf,,,45,33,32,29,16,4,,,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,apple,anchor,able,asphalt,animal,and,apron,aim,arm,ant,88,85,80,73,68,62,53,45,43,31,5,2.148,I had to thing of variations of the a words that I already had typed out.,j,0.766,0,5,5,4,1,Words that start with A,Phonemic,j,ape,age,at,,,,,,29,25,19,,,,,,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,fright,fire,funny,fame,found,flake,farm,fun,fund,flame,85,84,81,79,77,73,72,68,63,58,3,2.747,I  had to think of variations of f words that I had already typed out.,bracketleft,0.729,0,6,6,3,1,Words that start with F,Phonemic,p,funky,fart,font,flight,fly,find,fought,fight,48,44,41,39,36,28,25,23,fork,five,20,18,fin,for,far,fat,fit,,11,8,6,4,2,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,police,fireman,secretary,nurse,doctor,physiotherapist,psychologist,accountant,banker,stockbroker,84,79,75,73,72,64,59,52,49,43,5,2.305,I would picture a building like a school and try to name occupations associated with it.,p,1.012,0,7,7,7,1,Occupations,Semantic,p,plumber,electrician,framer,cashier,cook,baker,teacher,principal,35,32,28,21,18,17,13,9,,,,,,,,,,,,,,,,
,,,,,,A1E5B87J2RE98,001,2020-07-23_13h31.58.096,Fluency_Task,2020.1.2,Win32,60,,,,,,,,,,,hockeu,hockey,basketball,football,soccer,gymnastics,track and field,snowboarding,skiing,cycling,87,84,82,78,77,74,70,67,65,60,4,2.132,"I'd think of sports that I played, and the Olympics.",j,0.912,0,8,8,8,1,Sports,Semantic,j,golf,volleyball,badminton,speed skating,weight lifting,rugby,,,56,50,44,26,19,5,,,,,,,,,,,,,,,,,,
